id,nome,categoria,observacoes,sdf_original,sdf_novo_path
651,AKC_s-2004-815460,NATURAL,,631.sdf,sdfs/651.sdf
652,AKC_S0001-706X(02)00258-9,NATURAL,,633.sdf,sdfs/652.sdf
653,AKC_S0223-5234(03)00119-3,SYNTHETIC,,634.sdf,sdfs/653.sdf
654,AKC_1475636021000005613,SYNTHETIC,,635.sdf,sdfs/654.sdf
655,AKC_S0001-706X(02)00180-8,SYNTHETIC,Interessante,636.sdf,sdfs/655.sdf
656,AKC_AAC.46.8.2569-2574.2002,DRUG,,637.sdf,sdfs/656.sdf
657,AKC_AAC.46.3.797-807.2002,SYNTHETIC,,638.sdf,sdfs/657.sdf
658,AKC_parasite/2002094367,SYNTHETIC,,639.sdf,sdfs/658.sdf
659,AKC_AAC.46.8.2588-2594.2002,SYNTHETIC,,640.sdf,sdfs/659.sdf
660,AKC_AAC.45.5.1349-1354.2001,NATURAL,,641.sdf,sdfs/660.sdf
661,AKC_S0001-706X(00)00161-3,NATURAL,,642.sdf,sdfs/661.sdf
662,AKC_jm000156,SYNTHETIC,,643.sdf,sdfs/662.sdf
663,AKC_S0960-894X(00)00154-2,SYNTHETIC,,644.sdf,sdfs/663.sdf
664,AKC_s-1999-13993,SYNTHETIC,,645.sdf,sdfs/664.sdf
665,AKC_j.1574-6968.1999.tb13495.x,SYNTHETIC,,646.sdf,sdfs/665.sdf
666,AKC_jac/43.3.359,SYNTHETIC,,647.sdf,sdfs/666.sdf
667,AKC_AAC.43.5.1234,NATURAL,,648.sdf,sdfs/667.sdf
668,AKC_jm9804073,SYNTHETIC,,649.sdf,sdfs/668.sdf
669,AKC_jm9804073,SYNTHETIC,,650.sdf,sdfs/669.sdf
670,AKC_jm970232h,SYNTHETIC,,651.sdf,sdfs/670.sdf
671,AKC_00034983.1996.11813083,SYNTHETIC,,652.sdf,sdfs/671.sdf
672,AKC_s-2006-959531,NATURAL,,653.sdf,sdfs/672.sdf
673,AKC_ptr.2650070203,NATURAL,,654.sdf,sdfs/673.sdf
674,AKC_AAC.37.5.991,SYNTHETIC,,655.sdf,sdfs/674.sdf
675,AKC_AAC.37.5.991,SYNTHETIC,,656.sdf,sdfs/675.sdf
676,AKC_0035-9203(93)90499-g,DRUG,,657.sdf,sdfs/676.sdf
677,AKC_jac/30.6.827,DRUG,,658.sdf,sdfs/677.sdf
678,AKC_1306154,SYNTHETIC,,659.sdf,sdfs/678.sdf
679,AKC_3283487,DRUG,,660.sdf,sdfs/679.sdf
680,AKC_s-2006-960086,NATURAL,,661.sdf,sdfs/680.sdf
681,AKC_0006-291X(90)92109-D,SYNTHETIC,Aminoácido,662.sdf,sdfs/681.sdf
682,AKC_S0031182000061205,SYNTHETIC,Aminoácido,663.sdf,sdfs/682.sdf
683,AKC_0166-6851(88)90147-8,SYNTHETIC,Incerto,664.sdf,sdfs/683.sdf
684,AKC_ajtmh.1986.35.1110,SYNTHETIC,Interessante,665.sdf,sdfs/684.sdf
685,AKC_0035-9203(85)90255-X,DRUG,,666.sdf,sdfs/685.sdf
686,AKC_jm00375a006,SYNTHETIC,,667.sdf,sdfs/686.sdf
687,AKC_0006-2952(82)90203-9,DRUG,,668.sdf,sdfs/687.sdf
688,AKC_0024-3205(81)90062-X,SYNTHETIC,,669.sdf,sdfs/688.sdf
689,AKC_0014-5793(80)80364-4,SYNTHETIC,Interessante,670.sdf,sdfs/689.sdf
690,AKC_j.prmcm.2022.100176,NATURAL,,671.sdf,sdfs/690.sdf
691,AKC_fmb-2020-0263,SYNTHETIC,,672.sdf,sdfs/691.sdf
692,AKC_fmb-2020-0263,SYNTHETIC,,673.sdf,sdfs/692.sdf
693,AKC_j.exppara.2022.108383,NATURAL,,674.sdf,sdfs/693.sdf
694,AKC_fmc-2017-0120,SYNTHETIC,,675.sdf,sdfs/694.sdf
695,AKC_j.cimid.2022.101797,NATURAL,,676.sdf,sdfs/695.sdf
696,AKC_BRIAC132.135,SYNTHETIC,,677.sdf,sdfs/696.sdf
